idx,state,county,muni,unique_matches,unique_counts,all_counts
47,Illinois,Lake County,LAKE ZURICH,"['A', 'B', 'B-1', 'B-2', 'B-3', 'I', 'O-1', 'O-2', 'O-3', 'R-1/2', 'R-3', 'R-4', 'R-5', 'R-6']",14,24
49,Illinois,Lake County,WINTHROP HARBOR,"['A', 'B', 'B-1', 'B-4', 'B-5', 'C', 'E', 'G', 'H', 'I', 'OR', 'R-2', 'R-5', 'R-6']",14,59
50,Illinois,Sangamon County,CHATHAM,"['A', 'B', 'C', 'CAR', 'E', 'OR', 'P-1', 'PUD', 'R-2']",9,99
51,Illinois,Will County,LOCKPORT,"['A', 'B', 'C', 'C-4', 'CAR', 'E', 'G', 'H', 'I', 'M', 'O', 'OR', 'P', 'Q', 'R', 'R-1', 'R-O', 'RV', 'U', 'V']",20,328
52,Illinois,Will County,MOKENA,"['A', 'B', 'I']",3,12
66,Illinois,Will County,ROMEOVILLE,"['A', 'A-1', 'B', 'B-1', 'B-2', 'B-3', 'B-4', 'C', 'E', 'G', 'H', 'I', 'M', 'M-1', 'M-2', 'O', 'OR', 'P', 'P-1', 'PUD', 'Q', 'R', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-5A', 'R-6', 'R-7']",30,337
68,Indiana,Allen County,HUNTERTOWN,"['A', 'B', 'C']",3,3
69,Indiana,Lake County,CEDAR LAKE,[],0,0
70,Indiana,Lake County,DYER,"['A', 'B', 'B-1', 'B-2', 'B-3', 'I', 'PUD', 'R-1', 'R-2', 'R-3', 'R-4', 'RD']",12,39
80,Kentucky,Bullitt County,MOUNT WASHINGTON,"['A', 'B', 'B-1', 'B-2', 'R-1', 'R-2', 'R-3', 'R-4']",8,11
81,Kentucky,Campbell County,ALEXANDRIA,"['A', 'B', 'C']",3,6
82,Kentucky,Kenton County,EDGEWOOD,"['A', 'B']",2,6
83,Kentucky,Kenton County,VILLA HILLS,['A'],1,1
86,Michigan,Kent County,EAST GRAND RAPIDS,"['A', 'B', 'C-1', 'I', 'O-P', 'OR', 'PUD']",7,54
94,Michigan,Wayne County,GARDEN CITY,"['A', 'B', 'C', 'CAR', 'E', 'G', 'H', 'I', 'M', 'OR']",10,226
98,Minnesota,Dakota County,FARMINGTON,"['A-1', 'PUD']",2,2
102,Missouri,St. Charles County,COTTLEVILLE,[],0,0
103,Missouri,St. Charles County,O'FALLON,[],0,0
104,Missouri,St. Charles County,ST. PETERS,[],0,0
106,New Jersey,Atlantic County,NORTHFIELD,[],0,0
108,New York,Monroe County,PITTSFORD,[],0,0
110,Ohio,Cuyahoga County,BROOK PARK,"['A', 'A-1', 'A-2', 'B', 'H-1', 'I', 'OR']",7,40
111,Ohio,Cuyahoga County,HIGHLAND HEIGHTS,"['O-B', 'P']",2,2
112,Ohio,Cuyahoga County,SOLON,[],0,0
113,Ohio,Hamilton County,SPRINGFIELD,"['A', 'G', 'M-1', 'M-2', 'PD']",5,5
114,Ohio,Lake County,MENTOR,"['A', 'B', 'I', 'R-1']",4,9
115,Ohio,Lake County,WICKLIFFE,['OB'],1,1
116,Ohio,Lorain County,AMHERST,"['C-1', 'C-2', 'C-3', 'I-1', 'R-1', 'R-2', 'R-3']",7,7
117,Ohio,Lorain County,NORTH RIDGEVILLE,"['B-1', 'B-2', 'B-3', 'B-4', 'B-5', 'I-1', 'I-2', 'I-3', 'PCD', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5']",14,14
118,Ohio,Butler County,FAIRFIELD,"['A-1', 'B-1', 'C-1', 'C-2', 'C-3', 'C-3A', 'C-4', 'M-1', 'M-2', 'R-1', 'R-2', 'R-3', 'R-4']",13,13
119,Ohio,Cuyahoga County,SOUTH EUCLID,"['C-1', 'C-2', 'C-3', 'M-1', 'M-2', 'R-40', 'R-50', 'R-60', 'R-75', 'R-O']",10,10
121,Ohio,Hamilton County,MONTGOMERY,"['A', 'B', 'C', 'E', 'R-7']",5,8
122,Ohio,Hamilton County,WYOMING,"['A', 'B', 'C-1', 'C-2', 'C-3', 'E']",6,6
123,Ohio,Lorain County,AVON,"['C-1', 'C-2', 'C-3', 'C-4', 'M-1', 'M-2', 'O-1', 'O-2', 'R-1', 'R-2', 'R-3']",11,11
124,Ohio,Mahoning County,STRUTHERS,"['A', 'B', 'C', 'C-1']",4,8
126,Ohio,Cuyahoga County,SEVEN HILLS,[],0,0
127,Ohio,Summit County,MACEDONIA,"['B', 'B-1', 'B-2', 'B-3', 'B-4', 'I', 'R', 'R-P']",8,8
128,Ohio,Delaware County,GENOA,[],0,0
129,Ohio,Stark County,PERRY,[],0,0
135,Pennsylvania,Westmoreland County,MONESSEN,[],0,0
136,Rhode Island,Bristol County,BARRINGTON,[],0,0
137,South Carolina,Charleston County,JAMES ISLAND,"['A', 'B', 'C', 'CC', 'E', 'G', 'H', 'I', 'M', 'O', 'OR', 'PD', 'RV']",13,31
142,Tennessee,Shelby County,COLLIERVILLE,"['A', 'AH', 'B', 'C', 'CB', 'CO', 'E', 'G', 'GC', 'H', 'H-1', 'I', 'IL', 'M', 'MU', 'NC', 'OR', 'R-1', 'R-1A', 'R-2', 'R-25', 'R-2A', 'R-3', 'R-3A', 'R-4', 'RL']",26,296
175,Utah,Davis County,FARMINGTON,"['A', 'B']",2,2
177,Utah,Davis County,SOUTH WEBER,['A'],1,1
179,Utah,Salt Lake County,HERRIMAN,"['A', 'B']",2,9
181,Utah,Utah County,CEDAR HILLS,"['A', 'B']",2,6
184,Utah,Washington County,SANTA CLARA,"['A', 'B', 'I']",3,5
