idx,state,county,muni,unique_matches,unique_counts,all_counts,muncipalcode,source
47,Illinois,Lake County,LAKE ZURICH,"['1', '2', '3', '4', '5', '6', '7', 'A', 'B', 'B-1', 'B-2', 'B-3', 'D1', 'D2', 'D3', 'DR', 'I', 'LP', 'O-1', 'O-2', 'O-3', 'OS', 'R-1/2', 'R-3', 'R-4', 'R-5', 'R-6']",27,58,https://codelibrary.amlegal.com/codes/lakezurichil/latest/overview,codelibrary
49,Illinois,Lake County,WINTHROP HARBOR,"['1', '2', '3', '4', '5', '7', 'A', 'B', 'B-1', 'B-4', 'B-5', 'C', 'E', 'G', 'H', 'I', 'OR', 'R-2', 'R-5', 'R-6']",20,68,https://codelibrary.amlegal.com/codes/winthropharbor/latest/overview,codelibrary
50,Illinois,Sangamon County,CHATHAM,"['1', '2', '3', '35', '4', '5', '6', '7', '8', '9', 'A', 'B', 'C', 'CAR', 'E', 'OR', 'P-1', 'PARK', 'PUD', 'R-2']",20,147,https://codelibrary.amlegal.com/codes/chatham/latest/overview,codelibrary
51,Illinois,Will County,LOCKPORT,"['1', '2', '3', '4', '5', '6', '7', '8', 'A', 'B', 'C', 'C-4', 'CAR', 'E', 'E-R', 'G', 'H', 'I', 'L', 'M', 'O', 'OR', 'P', 'PARK', 'Q', 'R', 'R-1', 'R-O', 'RV', 'S', 'T', 'U', 'V', 'W']",34,408,https://codelibrary.amlegal.com/codes/lockport/latest/overview,codelibrary
52,Illinois,Will County,MOKENA,"['1', '2', '3', '4', '5', '6', '7', '8', '9', 'A', 'B', 'I']",12,38,https://codelibrary.amlegal.com/codes/mokenail/latest/overview,codelibrary
66,Illinois,Will County,ROMEOVILLE,"['1', '2', '3', '35', '4', '5', '6', '7', '8', 'A', 'A-1', 'B', 'B-1', 'B-2', 'B-3', 'B-4', 'C', 'E', 'E-R', 'FAR', 'G', 'H', 'I', 'L', 'M', 'M-1', 'M-2', 'M-R', 'O', 'OR', 'P', 'P-1', 'PARK', 'PUD', 'Q', 'R', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-5A', 'R-6', 'R-7', 'S']",45,469,https://codelibrary.amlegal.com/codes/romeoville/latest/overview,codelibrary
68,Indiana,Allen County,HUNTERTOWN,"['1', 'A', 'B', 'C']",4,4,https://codelibrary.amlegal.com/codes/huntertown/latest/overview,codelibrary
69,Indiana,Lake County,CEDAR LAKE,[],0,0,https://codelibrary.amlegal.com/codes/cedarlakein/latest/overview,codelibrary
70,Indiana,Lake County,DYER,"['1', '2', '3', '4', '5', '6', '7', '8', '9', 'A', 'B', 'B-1', 'B-2', 'B-3', 'I', 'PUD', 'R-1', 'R-2', 'R-3', 'R-4', 'RD']",21,131,https://codelibrary.amlegal.com/codes/dyer/latest/overview,codelibrary
80,Kentucky,Bullitt County,MOUNT WASHINGTON,"['3', 'A', 'B', 'B-1', 'B-2', 'R-1', 'R-2', 'R-3', 'R-4']",9,12,https://codelibrary.amlegal.com/codes/mtwashington/latest/overview,codelibrary
81,Kentucky,Campbell County,ALEXANDRIA,"['A', 'B', 'C', 'IV']",4,7,https://codelibrary.amlegal.com/codes/alexandria/latest/overview,codelibrary
82,Kentucky,Kenton County,EDGEWOOD,"['1', '7', 'A', 'B']",4,9,https://codelibrary.amlegal.com/codes/edgewood/latest/overview,codelibrary
83,Kentucky,Kenton County,VILLA HILLS,"['4', 'A']",2,2,https://codelibrary.amlegal.com/codes/villahills/latest/overview,codelibrary
86,Michigan,Kent County,EAST GRAND RAPIDS,"['1', '2', '3', '4', '5', '6', '7', '8', 'A', 'B', 'C-1', 'I', 'IV', 'O-P', 'OR', 'PUD']",16,81,https://codelibrary.amlegal.com/codes/eastgrandrapidsmi/latest/overview,codelibrary
94,Michigan,Wayne County,GARDEN CITY,"['1', '2', '3', '4', '5', '6', '7', '8', '9', 'A', 'B', 'C', 'CAR', 'E', 'G', 'H', 'I', 'L', 'M', 'OR', 'PARK', 'S', 'TV']",23,385,https://codelibrary.amlegal.com/codes/gardencity/latest/overview,codelibrary
98,Minnesota,Dakota County,FARMINGTON,"['3', 'A-1', 'P/OS', 'PUD']",4,4,https://codelibrary.amlegal.com/codes/farmingtonmn/latest/overview,codelibrary
102,Missouri,St. Charles County,COTTLEVILLE,[],0,0,https://ecode360.com/CO3275,ecode360
