idx,state,county,muni,unique_matches,unique_counts,all_counts,muncipalcode,source
70,Illinois,Will County,SHOREWOOD,[],0,0,https://codelibrary.amlegal.com/codes/dyer/latest/overview,codelibrary
73,Indiana,Lake County,DYER,"['A', 'B', 'B-1', 'B-2', 'B-3', 'I', 'PUD', 'R-1', 'R-2', 'R-3', 'R-4', 'RD']",12,39,https://stjohn.town.codes/,NOT_FOUND
89,Michigan,Kent County,EAST GRAND RAPIDS,[],0,0,https://library.municode.com/mi/berkley,NOT_FOUND
97,Michigan,Wayne County,GARDEN CITY,"['C-1', 'C-2', 'C-3', 'CBD', 'M-1', 'O-1', 'PD', 'PR', 'R-1', 'R-2', 'R-3']",11,11,https://library.municode.com/mn/chanhassen,NOT_FOUND
101,Minnesota,Dakota County,FARMINGTON,"['A-1', 'P/OS', 'PUD']",3,3,https://library.municode.com/ms/olive_branch,NOT_FOUND
105,Missouri,St. Charles County,COTTLEVILLE,[],0,0,https://www.gering.org/government/city-codes/zoning,NOT_FOUND
106,Missouri,St. Charles County,O'FALLON,[],0,0,https://ecode360.com/NO0505,ecode360
107,Missouri,St. Charles County,ST. PETERS,[],0,0,https://library.municode.com/nj/glen_ridge_borough,NOT_FOUND
109,New Jersey,Atlantic County,NORTHFIELD,[],0,0,https://library.municode.com/oh/bay_village,NOT_FOUND
113,Ohio,Cuyahoga County,BROOK PARK,"['A-1', 'A-2', 'A-5', 'A-6', 'H-1']",5,5,https://codelibrary.amlegal.com/codes/springfield/latest/overview,codelibrary
114,Ohio,Cuyahoga County,HIGHLAND HEIGHTS,"['G-B', 'O-B', 'P']",3,3,https://codelibrary.amlegal.com/codes/mentor/latest/overview,codelibrary
116,Ohio,Hamilton County,SPRINGFIELD,"['A', 'CO-1', 'G', 'M-1', 'M-2', 'PD', 'RR-1']",7,7,https://codelibrary.amlegal.com/codes/amherst/latest/overview,codelibrary
117,Ohio,Lake County,MENTOR,"['A', 'B', 'I', 'R-1']",4,9,https://codelibrary.amlegal.com/codes/northridgeville/latest/overview,codelibrary
118,Ohio,Lake County,WICKLIFFE,"['OB', 'OS']",2,2,https://codelibrary.amlegal.com/codes/fairfield/latest/overview,codelibrary
119,Ohio,Lorain County,AMHERST,"['C-1', 'C-2', 'C-3', 'I-1', 'R-1', 'R-2', 'R-3']",7,7,https://codelibrary.amlegal.com/codes/southeuclid/latest/overview,codelibrary
